# num asns 1125
# squat_asn squat_dod_ip
13489 11.11.4.0
701 11.104.121.153
17816 11.234.128.0
136198 11.86.13.1
134648 22.6.0.1
17816 11.16.2.154
3356 7.0.0.2
22616 7.32.54.1
701 11.104.68.65
7018 11.104.81.249
8151 7.7.7.1
45102 11.216.38.0
6147 11.11.80.0
5432 22.106.47.0
14080 11.1.1.1
5432 22.106.118.0
1221 11.1.1.1
2856 11.101.0.3
20115 11.100.0.2
24835 7.7.7.1
5432 22.106.68.0
3786 11.1.6.0
24445 11.0.0.0
4766 7.7.1.65
5432 22.107.79.0
37963 11.208.177.218
136907 11.22.80.24
33363 11.104.27.41
4134 11.131.180.218
5432 22.106.77.114
8708 22.5.19.78
55960 7.4.4.3
11845 22.248.129.125
8075 22.4.6.2
5432 22.107.82.0
45102 11.131.180.246
49628 22.22.1.0
4837 11.11.11.49
4134 11.10.5.0
62802 11.48.235.251
5432 22.106.7.0
4847 11.16.2.158
327776 22.248.99.5
19108 7.169.220.129
6848 22.106.71.237
264668 11.0.11.0
136907 11.22.97.27
22724 22.22.22.1
16194 22.106.121.197
266761 11.0.0.0
22616 7.32.132.1
64027 11.11.2.49
56046 11.22.30.0
17816 11.224.64.0
5432 22.107.210.205
5432 22.106.82.45
7018 11.19.74.6
44395 11.11.11.1
9498 11.11.11.1
812 7.11.165.105
136907 11.53.80.4
8075 22.188.254.0
4515 11.11.0.1
59164 11.11.124.1
5432 22.106.28.81
50158 11.11.10.1
6128 11.0.0.1
22616 22.20.0.2
5432 22.107.14.149
28624 11.1.1.0
7545 11.11.0.1
45305 11.1.15.254
37963 11.218.158.0
1267 11.1.190.0
719 11.0.0.1
37963 11.218.123.21
5432 22.107.132.242
8075 22.28.145.1
5713 7.1.94.253
5432 22.106.121.221
5432 22.106.42.5
38264 11.11.11.1
45102 11.207.68.0
7713 11.11.13.1
5432 22.107.144.0
5432 22.107.253.121
4134 22.4.8.97
3302 11.1.52.0
8075 22.180.46.0
38553 11.200.21.1
58906 11.11.11.0
13693 11.11.20.1
15802 11.11.11.1
812 7.11.168.9
9299 11.11.10.237
6848 22.107.190.0
812 7.11.169.17
7922 7.171.70.129
7713 11.16.250.118
56197 11.100.0.2
138001 11.11.24.1
8075 22.64.80.0
701 11.104.38.241
4847 11.22.30.0
24560 11.168.1.1
8075 22.106.55.0
812 7.11.169.93
56046 11.22.97.18
395461 11.80.4.1
9684 22.22.22.0
812 7.11.167.197
33915 11.11.3.1
5413 11.200.0.17
8551 11.1.0.1
4134 11.147.15.1
16735 11.22.33.1
5432 22.106.29.0
22773 7.175.154.129
15502 11.153.119.254
17816 11.231.160.0
25019 11.11.101.0
9808 11.22.80.18
8003 11.99.0.0
62802 11.120.163.254
16509 11.11.11.1
140030 11.11.11.1
136907 11.22.80.0
4795 11.212.134.123
4134 11.0.1.254
20001 7.7.7.1
62044 11.11.11.1
62044 7.24.206.129
58966 11.22.13.1
50710 11.11.11.28
28548 7.224.178.2
3257 7.41.135.81
3320 11.1.1.1
37168 11.1.1.1
8075 22.106.81.38
37963 11.177.232.102
20115 11.168.1.1
20115 22.24.123.0
45102 11.89.122.78
46313 22.25.86.253
6830 11.0.0.2
7713 11.11.4.0
56043 11.242.64.0
55990 11.88.64.20
4808 11.16.2.182
17451 11.11.13.0
17816 11.231.144.0
6147 11.11.2.1
5432 22.106.56.33
45102 11.52.240.0
22460 7.13.8.2
4134 11.111.1.1
50780 11.11.12.1
7713 11.12.1.0
5432 22.106.97.0
5432 22.107.231.121
3741 11.88.200.1
8708 11.11.11.1
28226 22.43.41.1
137689 7.7.5.207
29828 11.26.36.2
18734 7.224.12.2
8075 22.106.90.62
11589 11.1.1.1
45102 11.52.136.77
45758 11.11.11.11
16629 11.11.11.15
56048 11.33.213.0
7922 11.65.31.254
5432 22.106.36.221
17451 11.12.13.0
8003 11.26.80.0
45102 11.16.250.114
16347 11.10.10.253
4809 11.168.1.1
5432 22.106.56.197
3352 11.0.4.30
53813 7.42.44.1
131111 11.11.2.1
5432 22.106.30.41
5400 22.107.183.145
267278 22.32.42.0
45102 11.221.217.0
12389 11.10.1.1
812 7.11.168.33
1680 11.11.11.1
22616 7.34.205.11
199335 11.2.152.2
812 7.11.168.29
5432 22.107.120.0
22616 22.15.16.1
9808 11.74.23.0
138005 7.7.7.1
2856 7.32.9.1
20115 22.34.211.0
45899 11.11.11.1
174 7.5.32.1
25019 11.0.0.1
7713 11.16.250.114
62347 11.126.136.103
42010 11.14.255.75
4837 11.2.0.9
5432 22.107.81.169
46023 7.167.77.254
205254 11.11.0.1
48595 7.7.7.1
11426 11.11.11.122
8400 11.88.0.5
45102 11.207.72.34
5432 22.107.133.217
37963 11.204.180.182
52468 11.11.20.0
5432 22.107.191.57
37611 11.11.11.4
5432 22.106.5.0
7018 7.16.73.64
29467 22.107.2.0
7497 11.0.0.2
20115 22.24.123.129
8003 11.8.96.0
22460 7.14.12.1
10429 11.0.0.0
6400 11.0.0.0
7713 11.11.50.0
5432 22.107.188.25
4134 22.4.0.0
20115 22.10.105.1
3320 11.10.0.1
4809 11.12.251.13
812 7.11.168.189
56242 11.27.187.0
5432 22.107.112.121
131444 11.241.250.2
5432 22.107.77.0
8075 22.107.207.217
15247 11.24.0.157
45458 11.29.82.129
22616 11.13.19.1
5432 22.106.60.33
37963 11.218.122.101
7922 11.22.33.1
48832 11.11.1.7
33363 11.8.72.1
7713 11.11.5.1
134861 11.11.11.1
22616 7.255.30.1
4134 11.232.2.122
7713 11.14.10.0
5432 22.107.155.89
2856 11.0.0.1
8452 11.0.249.242
3257 7.114.212.254
22616 22.55.96.1
5617 11.0.0.1
4808 11.22.30.0
11776 11.11.1.15
