,#Field:count,sourceIPCount,endUserASN,which_data
326,545,61,263790,tracerouteasncounts
327,2002,97,264033,tracerouteasncounts
328,577,62,264480,tracerouteasncounts
329,22,4,264667,tracerouteasncounts
330,2445,101,264814,tracerouteasncounts
331,103,10,264911,tracerouteasncounts
332,3,1,265988,tracerouteasncounts
333,130,17,266439,tracerouteasncounts
334,429,20,266583,tracerouteasncounts
335,31,17,266648,tracerouteasncounts
336,51,2,266726,tracerouteasncounts
337,92,13,266983,tracerouteasncounts
338,52,29,266993,tracerouteasncounts
339,6,2,267056,tracerouteasncounts
340,248,8,267671,tracerouteasncounts
341,27,3,267945,tracerouteasncounts
342,1,1,267999,tracerouteasncounts
343,11,4,268357,tracerouteasncounts
344,69,10,268535,tracerouteasncounts
345,58,16,268565,tracerouteasncounts
346,83,10,268664,tracerouteasncounts
347,1479,2,269549,tracerouteasncounts
348,4,2,270019,tracerouteasncounts
349,69,12,270264,tracerouteasncounts
350,4,3,270491,tracerouteasncounts
351,3,3,270652,tracerouteasncounts
352,146,18,271052,tracerouteasncounts
353,33,2,271776,tracerouteasncounts
354,56,2,394743,tracerouteasncounts
355,3578,2,395228,tracerouteasncounts
356,116,2,395271,tracerouteasncounts
357,2187,16,396536,tracerouteasncounts
358,6,1,397777,tracerouteasncounts
359,272,3,397889,tracerouteasncounts
360,152380,32,603,tracerouteasncounts
361,2012326,488,1998,tracerouteasncounts
362,12677,11,2653,tracerouteasncounts
363,474780,60,4049,tracerouteasncounts
364,378,13,4821,tracerouteasncounts
365,173,2,5733,tracerouteasncounts
366,10932080,44929,6128,tracerouteasncounts
367,326863,180,6453,tracerouteasncounts
368,920282,54312,6739,tracerouteasncounts
369,12,6,6883,tracerouteasncounts
370,558,10,8890,tracerouteasncounts
371,925,51,9026,tracerouteasncounts
372,5278,176,9142,tracerouteasncounts
373,754,27,10733,tracerouteasncounts
374,36541,28,10921,tracerouteasncounts
375,22356,3,12888,tracerouteasncounts
376,1640,2,14071,tracerouteasncounts
377,563,6,14760,tracerouteasncounts
378,122548,1,14967,tracerouteasncounts
379,196,6,15711,tracerouteasncounts
380,31,2,16313,tracerouteasncounts
381,6450,48,16316,tracerouteasncounts
382,1266,3,16376,tracerouteasncounts
383,409,1,16666,tracerouteasncounts
384,272515,3,18088,tracerouteasncounts
385,3170,4,20251,tracerouteasncounts
386,3364,22,21668,tracerouteasncounts
387,6548,2,21745,tracerouteasncounts
388,944,3,22827,tracerouteasncounts
389,1266807,7,22828,tracerouteasncounts
390,758,2,22871,tracerouteasncounts
391,2211,2,23168,tracerouteasncounts
392,52,1,23345,tracerouteasncounts
393,116,4,23601,tracerouteasncounts
394,684,33,24277,tracerouteasncounts
395,1,1,25141,tracerouteasncounts
396,10,2,25634,tracerouteasncounts
397,68,1,26673,tracerouteasncounts
398,184,2,27550,tracerouteasncounts
399,303,1,27797,tracerouteasncounts
400,28,2,28148,tracerouteasncounts
401,142,11,28397,tracerouteasncounts
402,90543,15,29217,tracerouteasncounts
403,1197,5,29668,tracerouteasncounts
404,8812,54,29848,tracerouteasncounts
405,2,2,30243,tracerouteasncounts
406,15,1,30862,tracerouteasncounts
407,8988,20,31059,tracerouteasncounts
408,186,2,31746,tracerouteasncounts
409,3734,2,33565,tracerouteasncounts
410,158,5,33985,tracerouteasncounts
411,1824,33,34989,tracerouteasncounts
412,77649,1366,35549,tracerouteasncounts
413,14393,114,36105,tracerouteasncounts
414,51,1,36136,tracerouteasncounts
415,157391,2,36152,tracerouteasncounts
416,228,5,36489,tracerouteasncounts
417,842,24,36666,tracerouteasncounts
418,60,4,37508,tracerouteasncounts
419,66,11,38763,tracerouteasncounts
420,109,2,38967,tracerouteasncounts
421,2936,19,38976,tracerouteasncounts
422,34,3,39296,tracerouteasncounts
423,654,3,40113,tracerouteasncounts
424,145,2,41235,tracerouteasncounts
425,640,1,41265,tracerouteasncounts
426,3,1,41372,tracerouteasncounts
427,888,1,41865,tracerouteasncounts
428,1710,19,41898,tracerouteasncounts
429,87189,2087,41998,tracerouteasncounts
430,585,18,42514,tracerouteasncounts
431,2,2,42632,tracerouteasncounts
432,1813,3,42717,tracerouteasncounts
433,6,1,42748,tracerouteasncounts
434,9,2,42810,tracerouteasncounts
435,2470,3,42914,tracerouteasncounts
436,11030,97,43207,tracerouteasncounts
437,273659,5045,43766,tracerouteasncounts
438,11307,62,43857,tracerouteasncounts
439,2655,60,44066,tracerouteasncounts
440,12896,109,46437,tracerouteasncounts
441,403,3,47031,tracerouteasncounts
442,11594,2,47545,tracerouteasncounts
443,102,2,48507,tracerouteasncounts
444,161,2,49070,tracerouteasncounts
445,146,4,49300,tracerouteasncounts
446,1041,2,49478,tracerouteasncounts
447,1177,10,49935,tracerouteasncounts
448,9228,8,50163,tracerouteasncounts
449,381,2,50164,tracerouteasncounts
450,2254,4,51800,tracerouteasncounts
451,36,1,52186,tracerouteasncounts
452,91025,4,52220,tracerouteasncounts
453,6,1,52418,tracerouteasncounts
454,41153,321,53237,tracerouteasncounts
455,895,8,53812,tracerouteasncounts
456,10254,2,54711,tracerouteasncounts
457,395,4,55343,tracerouteasncounts
458,19435,440,55832,tracerouteasncounts
459,17297,53,58877,tracerouteasncounts
460,185,2,59516,tracerouteasncounts
461,92,21,59652,tracerouteasncounts
462,2556,268,60267,tracerouteasncounts
463,11296,55,60426,tracerouteasncounts
464,232,1,60599,tracerouteasncounts
465,19138,194,61174,tracerouteasncounts
466,76,29,61636,tracerouteasncounts
467,2260,286,61878,tracerouteasncounts
468,1947,1,62784,tracerouteasncounts
469,2309,1,63066,tracerouteasncounts
470,1133,6,63402,tracerouteasncounts
471,1,1,63467,tracerouteasncounts
472,2453,124,131717,tracerouteasncounts
473,52833,163,132559,tracerouteasncounts
474,4498,96,132771,tracerouteasncounts
475,18131,5,133090,tracerouteasncounts
476,8,1,133261,tracerouteasncounts
477,69148,362,133287,tracerouteasncounts
478,10806,2,133915,tracerouteasncounts
479,3358,45,134052,tracerouteasncounts
480,15261,158,134238,tracerouteasncounts
481,184,2,135122,tracerouteasncounts
482,505,48,137099,tracerouteasncounts
483,478,7,137834,tracerouteasncounts
484,132,5,138710,tracerouteasncounts
485,498,15,139088,tracerouteasncounts
486,537,6,139227,tracerouteasncounts
487,10514,2,140240,tracerouteasncounts
488,114,1,140714,tracerouteasncounts
489,180,17,141077,tracerouteasncounts
490,1,1,196808,tracerouteasncounts
491,9,1,197253,tracerouteasncounts
492,18214,42,198668,tracerouteasncounts
493,449,88,198843,tracerouteasncounts
494,211,9,199359,tracerouteasncounts
495,42,1,199604,tracerouteasncounts
496,1835,107,201127,tracerouteasncounts
497,256,1,201338,tracerouteasncounts
498,6,1,202432,tracerouteasncounts
499,162,1,202630,tracerouteasncounts
500,662,1,203157,tracerouteasncounts
