,AS,# of source IP,# of Traceroutes,Type,Feature
14877,12357,9999.0,139975,Not Squatted Eyeballs,Eyeballs
14878,20928,1.0,20017,Squatted Eyeballs,Eyeballs
14879,133623,82.0,35299,Not Squatted Eyeballs,Eyeballs
14880,136190,242.0,8431,Not Squatted Eyeballs,Eyeballs
14881,48642,107.0,11467,Not Squatted Eyeballs,Eyeballs
14882,201167,268.0,10320,Not Squatted Eyeballs,Eyeballs
14883,52965,1.0,12542,Squatted Eyeballs,Eyeballs
14884,41937,298.0,26389,Not Squatted Eyeballs,Eyeballs
14885,6876,373.0,16811,Not Squatted Eyeballs,Eyeballs
14886,28537,529.0,48037,Not Squatted Eyeballs,Eyeballs
14887,27866,1355.0,6387,Not Squatted Eyeballs,Eyeballs
14888,197882,3.0,11741,Squatted Eyeballs,Eyeballs
14889,10143,3.0,1042735,Squatted Eyeballs,Eyeballs
14890,13156,1.0,58462,Squatted Eyeballs,Eyeballs
14891,54614,2.0,291816,Squatted Eyeballs,Eyeballs
14892,262191,2.0,224964,Squatted Eyeballs,Eyeballs
14893,28024,445.0,5938,Not Squatted Eyeballs,Eyeballs
14894,133001,71.0,44023,Squatted Eyeballs,Eyeballs
14895,28171,993.0,15814,Not Squatted Eyeballs,Eyeballs
14896,9908,2663.0,113359,Not Squatted Eyeballs,Eyeballs
14897,12552,2.0,793202,Squatted Eyeballs,Eyeballs
14898,29580,1591.0,152460,Not Squatted Eyeballs,Eyeballs
14899,37061,6.0,86494,Squatted Eyeballs,Eyeballs
14900,135405,1.0,25198,Squatted Eyeballs,Eyeballs
14901,14615,48.0,525814,Squatted Eyeballs,Eyeballs
14902,9351,1682.0,12234,Not Squatted Eyeballs,Eyeballs
14903,17529,1150.0,35915,Not Squatted Eyeballs,Eyeballs
14904,134375,3.0,96663,Squatted Eyeballs,Eyeballs
14905,13977,2.0,396472,Squatted Eyeballs,Eyeballs
14906,28531,520.0,19274,Not Squatted Eyeballs,Eyeballs
14907,133275,10.0,36838,Squatted Eyeballs,Eyeballs
14908,27668,1.0,19225,Squatted Eyeballs,Eyeballs
14909,265684,3.0,6200,Squatted Eyeballs,Eyeballs
14910,13490,2200.0,387312,Not Squatted Eyeballs,Eyeballs
14911,35699,4462.0,146104,Not Squatted Eyeballs,Eyeballs
14912,267857,18.0,52147,Squatted Eyeballs,Eyeballs
14913,327952,479.0,21106,Not Squatted Eyeballs,Eyeballs
14914,28270,1716.0,24351,Not Squatted Eyeballs,Eyeballs
14915,133676,76.0,29755,Squatted Eyeballs,Eyeballs
14916,134788,104.0,7022,Not Squatted Eyeballs,Eyeballs
14917,19422,512.0,13282,Not Squatted Eyeballs,Eyeballs
14918,28669,1.0,135707,Squatted Eyeballs,Eyeballs
14919,39608,803.0,64389,Not Squatted Eyeballs,Eyeballs
14920,22698,798.0,16019,Not Squatted Eyeballs,Eyeballs
14921,9341,59.0,138927,Squatted Eyeballs,Eyeballs
14922,39435,124.0,14515,Not Squatted Eyeballs,Eyeballs
14923,16202,2211.0,56038,Not Squatted Eyeballs,Eyeballs
14924,23089,4.0,558265,Squatted Eyeballs,Eyeballs
14925,5639,575.0,54885,Not Squatted Eyeballs,Eyeballs
14926,5390,5484.0,131839,Not Squatted Eyeballs,Eyeballs
14927,31272,177.0,10770,Not Squatted Eyeballs,Eyeballs
14928,15600,2923.0,224362,Not Squatted Eyeballs,Eyeballs
14929,6471,9.0,657988,Squatted Eyeballs,Eyeballs
14930,59108,1093.0,52811,Not Squatted Eyeballs,Eyeballs
14931,13353,72.0,7181,Not Squatted Eyeballs,Eyeballs
14932,28114,5.0,9745,Squatted Eyeballs,Eyeballs
14933,132296,489.0,27782,Not Squatted Eyeballs,Eyeballs
14934,55392,237.0,40759,Not Squatted Eyeballs,Eyeballs
14935,31214,147.0,8162,Not Squatted Eyeballs,Eyeballs
14936,263238,441.0,22969,Not Squatted Eyeballs,Eyeballs
14937,263210,129.0,17439,Not Squatted Eyeballs,Eyeballs
14938,12929,472.0,86586,Not Squatted Eyeballs,Eyeballs
14939,4755,84.0,2701022,Squatted Eyeballs,Eyeballs
14940,10101,111.0,8869,Not Squatted Eyeballs,Eyeballs
14941,135872,1.0,26645,Squatted Eyeballs,Eyeballs
14942,22869,189.0,19849,Not Squatted Eyeballs,Eyeballs
14943,35297,75.0,5992,Not Squatted Eyeballs,Eyeballs
14944,28532,570.0,28396,Not Squatted Eyeballs,Eyeballs
14945,37463,39.0,9112,Not Squatted Eyeballs,Eyeballs
14946,136515,106.0,24721,Not Squatted Eyeballs,Eyeballs
14947,35911,512.0,198155,Not Squatted Eyeballs,Eyeballs
14948,13037,4.0,742263,Squatted Eyeballs,Eyeballs
14949,39824,174.0,17339,Not Squatted Eyeballs,Eyeballs
14950,15751,230.0,49213,Not Squatted Eyeballs,Eyeballs
14951,24364,2.0,7657,Squatted Eyeballs,Eyeballs
14952,37682,199.0,30926,Not Squatted Eyeballs,Eyeballs
14953,25310,1198.0,156746,Not Squatted Eyeballs,Eyeballs
14954,133414,1.0,232315,Squatted Eyeballs,Eyeballs
14955,15547,604.0,68166,Not Squatted Eyeballs,Eyeballs
14956,132298,90.0,7610,Not Squatted Eyeballs,Eyeballs
14957,133311,3.0,34326,Squatted Eyeballs,Eyeballs
14958,45117,66.0,50166,Squatted Eyeballs,Eyeballs
14959,29124,264.0,68992,Not Squatted Eyeballs,Eyeballs
14960,50543,97.0,6436,Not Squatted Eyeballs,Eyeballs
14961,264825,2.0,11749,Squatted Eyeballs,Eyeballs
14962,52613,1128.0,15922,Not Squatted Eyeballs,Eyeballs
14963,32181,1.0,21113,Squatted Eyeballs,Eyeballs
14964,8100,1.0,24502,Squatted Eyeballs,Eyeballs
14965,8462,219.0,22049,Not Squatted Eyeballs,Eyeballs
14966,55391,1.0,74823,Squatted Eyeballs,Eyeballs
14967,21412,1.0,81460,Squatted Eyeballs,Eyeballs
14968,13045,2924.0,105729,Not Squatted Eyeballs,Eyeballs
14969,31204,89.0,5593,Not Squatted Eyeballs,Eyeballs
14970,15542,4239.0,193779,Not Squatted Eyeballs,Eyeballs
14971,4922,1.0,316856,Squatted Eyeballs,Eyeballs
14972,18734,4.0,349650,Squatted Eyeballs,Eyeballs
14973,30764,363.0,69194,Not Squatted Eyeballs,Eyeballs
14974,26827,1.0,461883,Squatted Eyeballs,Eyeballs
14975,28258,1110.0,11960,Not Squatted Eyeballs,Eyeballs
14976,262673,911.0,34014,Not Squatted Eyeballs,Eyeballs
14977,22689,2319.0,23445,Not Squatted Eyeballs,Eyeballs
14978,27837,154.0,5984,Not Squatted Eyeballs,Eyeballs
14979,58965,25.0,24517,Squatted Eyeballs,Eyeballs
14980,34594,5138.0,62785,Not Squatted Eyeballs,Eyeballs
14981,11172,8.0,2494472,Squatted Eyeballs,Eyeballs
14982,263276,3.0,5524,Squatted Eyeballs,Eyeballs
14983,266860,422.0,16247,Not Squatted Eyeballs,Eyeballs
14984,8445,1.0,148271,Squatted Eyeballs,Eyeballs
14985,25086,56.0,16179,Not Squatted Eyeballs,Eyeballs
14986,28481,174.0,8680,Not Squatted Eyeballs,Eyeballs
14987,26210,1.0,95033,Squatted Eyeballs,Eyeballs
14988,10226,129.0,18204,Not Squatted Eyeballs,Eyeballs
14989,9874,465.0,31838,Not Squatted Eyeballs,Eyeballs
14990,21565,1305.0,141644,Not Squatted Eyeballs,Eyeballs
14991,35432,2.0,189152,Squatted Eyeballs,Eyeballs
14992,52871,570.0,6640,Not Squatted Eyeballs,Eyeballs
14993,36920,2.0,58169,Squatted Eyeballs,Eyeballs
14994,2907,1.0,190414,Squatted Eyeballs,Eyeballs
14995,132220,537.0,23354,Not Squatted Eyeballs,Eyeballs
14996,35244,2585.0,138033,Not Squatted Eyeballs,Eyeballs
14997,28015,1631.0,7199,Not Squatted Eyeballs,Eyeballs
14998,22646,2.0,332454,Squatted Eyeballs,Eyeballs
14999,37063,191.0,5419,Not Squatted Eyeballs,Eyeballs
15000,30922,51.0,27922,Not Squatted Eyeballs,Eyeballs
15001,23956,12.0,20294,Squatted Eyeballs,Eyeballs
15002,12668,313.0,37941,Not Squatted Eyeballs,Eyeballs
15003,17839,1474.0,10708,Not Squatted Eyeballs,Eyeballs
15004,50923,182.0,8469,Not Squatted Eyeballs,Eyeballs
15005,38009,68.0,15991,Not Squatted Eyeballs,Eyeballs
15006,7470,7.0,568842,Squatted Eyeballs,Eyeballs
15007,51004,73.0,17156,Not Squatted Eyeballs,Eyeballs
15008,40788,1178.0,356985,Not Squatted Eyeballs,Eyeballs
15009,15735,1799.0,156196,Not Squatted Eyeballs,Eyeballs
15010,51207,4.0,130219,Squatted Eyeballs,Eyeballs
15011,18822,2.0,273544,Squatted Eyeballs,Eyeballs
15012,51570,156.0,27807,Not Squatted Eyeballs,Eyeballs
15013,45582,5.0,28952,Squatted Eyeballs,Eyeballs
15014,13046,4517.0,131893,Not Squatted Eyeballs,Eyeballs
15015,327782,1.0,152988,Squatted Eyeballs,Eyeballs
15016,59362,48.0,8372,Squatted Eyeballs,Eyeballs
15017,12301,2.0,314602,Squatted Eyeballs,Eyeballs
15018,196949,45.0,8500,Not Squatted Eyeballs,Eyeballs
15019,45235,465.0,24241,Not Squatted Eyeballs,Eyeballs
15020,268976,331.0,6068,Not Squatted Eyeballs,Eyeballs
15021,264628,2.0,5010,Squatted Eyeballs,Eyeballs
15022,37371,201.0,13992,Not Squatted Eyeballs,Eyeballs
15023,59127,765.0,11554,Not Squatted Eyeballs,Eyeballs
15024,1257,4.0,3209552,Squatted Eyeballs,Eyeballs
15025,22368,1373.0,14582,Not Squatted Eyeballs,Eyeballs
15026,135407,1.0,19068,Squatted Eyeballs,Eyeballs
15027,132556,47.0,73831,Squatted Eyeballs,Eyeballs
15028,12709,2096.0,201107,Not Squatted Eyeballs,Eyeballs
15029,135607,2.0,39690,Squatted Eyeballs,Eyeballs
15030,45820,34.0,533292,Squatted Eyeballs,Eyeballs
15031,21453,278.0,13144,Not Squatted Eyeballs,Eyeballs
15032,45766,54.0,5151,Squatted Eyeballs,Eyeballs
15033,6856,117.0,26011,Not Squatted Eyeballs,Eyeballs
15034,42841,2.0,45481,Squatted Eyeballs,Eyeballs
15035,17306,1.0,259783,Squatted Eyeballs,Eyeballs
15036,53059,1004.0,11732,Not Squatted Eyeballs,Eyeballs
15037,263725,3.0,10798,Squatted Eyeballs,Eyeballs
15038,55862,153.0,44587,Squatted Eyeballs,Eyeballs
15039,38511,1056.0,36415,Squatted Eyeballs,Eyeballs
15040,37315,612.0,151027,Not Squatted Eyeballs,Eyeballs
15041,137967,2.0,6377,Squatted Eyeballs,Eyeballs
15042,9614,1.0,6788,Squatted Eyeballs,Eyeballs
15043,53062,1.0,10262,Squatted Eyeballs,Eyeballs
15044,28005,49.0,5919,Not Squatted Eyeballs,Eyeballs
15045,262481,1262.0,8961,Not Squatted Eyeballs,Eyeballs
15046,6677,1477.0,260007,Not Squatted Eyeballs,Eyeballs
15047,262659,305.0,10729,Not Squatted Eyeballs,Eyeballs
15048,5413,1.0,703535,Squatted Eyeballs,Eyeballs
15049,262503,210.0,5426,Not Squatted Eyeballs,Eyeballs
15050,262493,946.0,11960,Not Squatted Eyeballs,Eyeballs
15051,8339,1.0,151794,Squatted Eyeballs,Eyeballs
15052,6407,1.0,186889,Squatted Eyeballs,Eyeballs
15053,29194,24.0,23289,Not Squatted Eyeballs,Eyeballs
15054,27695,1.0,20727,Squatted Eyeballs,Eyeballs
15055,50498,104.0,8246,Not Squatted Eyeballs,Eyeballs
15056,24323,150.0,77623,Squatted Eyeballs,Eyeballs
15057,11814,2.0,225839,Squatted Eyeballs,Eyeballs
15058,48966,39.0,6438,Not Squatted Eyeballs,Eyeballs
15059,9471,286.0,46712,Not Squatted Eyeballs,Eyeballs
15060,28438,2.0,98436,Squatted Eyeballs,Eyeballs
15061,28331,2.0,7846,Squatted Eyeballs,Eyeballs
15062,202940,4.0,157317,Squatted Eyeballs,Eyeballs
15063,262253,9.0,57185,Squatted Eyeballs,Eyeballs
15064,9845,1002.0,5963,Not Squatted Eyeballs,Eyeballs
15065,55805,141.0,5778,Not Squatted Eyeballs,Eyeballs
15066,38457,1.0,39883,Squatted Eyeballs,Eyeballs
15067,11976,1.0,173772,Squatted Eyeballs,Eyeballs
15068,37358,4.0,91744,Squatted Eyeballs,Eyeballs
15069,42116,88.0,5950,Not Squatted Eyeballs,Eyeballs
15070,36149,2088.0,387631,Not Squatted Eyeballs,Eyeballs
15071,47165,232.0,5753,Not Squatted Eyeballs,Eyeballs
15072,327901,1.0,57204,Squatted Eyeballs,Eyeballs
15073,38077,123.0,7197,Not Squatted Eyeballs,Eyeballs
15074,41843,105.0,15093,Not Squatted Eyeballs,Eyeballs
15075,262983,743.0,8528,Not Squatted Eyeballs,Eyeballs
15076,132148,2.0,20423,Squatted Eyeballs,Eyeballs
15077,132768,1.0,18425,Squatted Eyeballs,Eyeballs
15078,31257,79.0,18680,Not Squatted Eyeballs,Eyeballs
15079,7602,1.0,12850,Squatted Eyeballs,Eyeballs
15080,28191,584.0,10163,Not Squatted Eyeballs,Eyeballs
15081,43939,1.0,58617,Squatted Eyeballs,Eyeballs
15082,30999,1.0,39985,Squatted Eyeballs,Eyeballs
15083,40285,1.0,158438,Squatted Eyeballs,Eyeballs
15084,51052,397.0,5749,Not Squatted Eyeballs,Eyeballs
15085,56420,90.0,6121,Not Squatted Eyeballs,Eyeballs
15086,135376,73.0,8545,Not Squatted Eyeballs,Eyeballs
15087,55944,1.0,26311,Squatted Eyeballs,Eyeballs
15088,16629,9.0,324018,Squatted Eyeballs,Eyeballs
15089,29091,1.0,48594,Squatted Eyeballs,Eyeballs
15090,44604,14.0,16549,Not Squatted Eyeballs,Eyeballs
15091,9658,4.0,196535,Squatted Eyeballs,Eyeballs
15092,9063,2534.0,140278,Not Squatted Eyeballs,Eyeballs
15093,37460,21.0,5671,Not Squatted Eyeballs,Eyeballs
15094,31117,163.0,30626,Not Squatted Eyeballs,Eyeballs
15095,4795,5.0,78251,Squatted Eyeballs,Eyeballs
15096,37053,693.0,69582,Not Squatted Eyeballs,Eyeballs
15097,262509,712.0,11182,Not Squatted Eyeballs,Eyeballs
15098,44056,45.0,10045,Not Squatted Eyeballs,Eyeballs
15099,30619,456.0,26137,Not Squatted Eyeballs,Eyeballs
15100,45499,1.0,27411,Squatted Eyeballs,Eyeballs
15101,262159,372.0,6679,Not Squatted Eyeballs,Eyeballs
15102,34757,44.0,17249,Not Squatted Eyeballs,Eyeballs
15103,135247,2.0,42493,Squatted Eyeballs,Eyeballs
15104,56300,4.0,443864,Squatted Eyeballs,Eyeballs
15105,28541,412.0,10444,Not Squatted Eyeballs,Eyeballs
15106,45905,1.0,5252,Squatted Eyeballs,Eyeballs
15107,10029,6.0,158798,Squatted Eyeballs,Eyeballs
15108,41668,148.0,23667,Not Squatted Eyeballs,Eyeballs
15109,5056,2.0,400248,Squatted Eyeballs,Eyeballs
15110,1403,675.0,353929,Not Squatted Eyeballs,Eyeballs
15111,134858,261.0,10006,Not Squatted Eyeballs,Eyeballs
15112,9997,148.0,6600,Not Squatted Eyeballs,Eyeballs
15113,262664,638.0,11210,Not Squatted Eyeballs,Eyeballs
15114,42831,137.0,8332,Not Squatted Eyeballs,Eyeballs
15115,134022,276.0,23402,Not Squatted Eyeballs,Eyeballs
15116,43529,205.0,20980,Not Squatted Eyeballs,Eyeballs
15117,53080,910.0,8149,Not Squatted Eyeballs,Eyeballs
15118,15457,340.0,21122,Not Squatted Eyeballs,Eyeballs
15119,4230,16.0,1187836,Squatted Eyeballs,Eyeballs
15120,36963,78.0,11423,Not Squatted Eyeballs,Eyeballs
15121,328638,261.0,12213,Not Squatted Eyeballs,Eyeballs
15122,9260,21.0,47890,Squatted Eyeballs,Eyeballs
15123,41682,106.0,14493,Not Squatted Eyeballs,Eyeballs
15124,45415,3.0,29863,Squatted Eyeballs,Eyeballs
15125,22423,548.0,142714,Not Squatted Eyeballs,Eyeballs
15126,46618,242.0,48291,Not Squatted Eyeballs,Eyeballs
15127,203217,64.0,8144,Not Squatted Eyeballs,Eyeballs
15128,28523,401.0,9112,Not Squatted Eyeballs,Eyeballs
15129,27932,10.0,28063,Squatted Eyeballs,Eyeballs
15130,138965,59.0,22495,Not Squatted Eyeballs,Eyeballs
15131,11014,3.0,115018,Squatted Eyeballs,Eyeballs
15132,27833,750.0,8108,Not Squatted Eyeballs,Eyeballs
15133,50597,74.0,5148,Not Squatted Eyeballs,Eyeballs
15134,9310,1.0,215416,Squatted Eyeballs,Eyeballs
15135,2588,273.0,38264,Not Squatted Eyeballs,Eyeballs
15136,52436,431.0,5332,Not Squatted Eyeballs,Eyeballs
15137,786,2.0,1111468,Squatted Eyeballs,Eyeballs
15138,14754,24.0,1171701,Squatted Eyeballs,Eyeballs
15139,136946,5.0,19120,Squatted Eyeballs,Eyeballs
15140,12708,1.0,177816,Squatted Eyeballs,Eyeballs
15141,45305,33.0,7558,Squatted Eyeballs,Eyeballs
15142,327765,28.0,7774,Not Squatted Eyeballs,Eyeballs
15143,60257,1.0,42721,Squatted Eyeballs,Eyeballs
15144,58762,1.0,17932,Squatted Eyeballs,Eyeballs
15145,36874,446.0,55534,Not Squatted Eyeballs,Eyeballs
15146,27843,10.0,176910,Squatted Eyeballs,Eyeballs
15147,132497,1.0,21763,Squatted Eyeballs,Eyeballs
15148,20910,922.0,49296,Not Squatted Eyeballs,Eyeballs
15149,56665,1165.0,68504,Not Squatted Eyeballs,Eyeballs
15150,34569,378.0,16079,Not Squatted Eyeballs,Eyeballs
15151,139994,2.0,5598,Squatted Eyeballs,Eyeballs
15152,15516,4582.0,82069,Not Squatted Eyeballs,Eyeballs
15153,16814,2.0,175556,Squatted Eyeballs,Eyeballs
15154,35362,157.0,19626,Not Squatted Eyeballs,Eyeballs
15155,18419,1098.0,14377,Not Squatted Eyeballs,Eyeballs
15156,16246,341.0,33333,Not Squatted Eyeballs,Eyeballs
15157,12414,5172.0,133394,Not Squatted Eyeballs,Eyeballs
15158,31286,17.0,7418,Not Squatted Eyeballs,Eyeballs
15159,44944,3.0,22787,Squatted Eyeballs,Eyeballs
15160,131920,147.0,29271,Not Squatted Eyeballs,Eyeballs
15161,9381,11.0,1463260,Squatted Eyeballs,Eyeballs
15162,134552,52.0,5719,Squatted Eyeballs,Eyeballs
15163,28665,1441.0,45274,Not Squatted Eyeballs,Eyeballs
15164,63996,113.0,11100,Not Squatted Eyeballs,Eyeballs
15165,48945,754.0,182767,Not Squatted Eyeballs,Eyeballs
15166,44724,44.0,14315,Not Squatted Eyeballs,Eyeballs
15167,36999,617.0,12146,Not Squatted Eyeballs,Eyeballs
15168,6389,1456.0,647001,Not Squatted Eyeballs,Eyeballs
15169,10269,91.0,97112,Squatted Eyeballs,Eyeballs
15170,133301,206.0,24013,Not Squatted Eyeballs,Eyeballs
15171,28753,258.0,7613,Not Squatted Eyeballs,Eyeballs
15172,23820,2.0,250205,Squatted Eyeballs,Eyeballs
15173,18278,592.0,7344,Not Squatted Eyeballs,Eyeballs
15174,41820,34.0,18138,Not Squatted Eyeballs,Eyeballs
15175,46375,5.0,473444,Squatted Eyeballs,Eyeballs
15176,262916,2.0,142859,Squatted Eyeballs,Eyeballs
15177,41750,221.0,7816,Not Squatted Eyeballs,Eyeballs
15178,30633,346.0,27797,Not Squatted Eyeballs,Eyeballs
15179,55685,8.0,26657,Squatted Eyeballs,Eyeballs
15180,267749,402.0,7293,Not Squatted Eyeballs,Eyeballs
15181,262691,684.0,5207,Not Squatted Eyeballs,Eyeballs
15182,9125,1.0,28257,Squatted Eyeballs,Eyeballs
15183,21804,577.0,108485,Not Squatted Eyeballs,Eyeballs
15184,132976,1.0,24861,Squatted Eyeballs,Eyeballs
15185,57588,55.0,9661,Not Squatted Eyeballs,Eyeballs
15186,33885,990.0,280031,Not Squatted Eyeballs,Eyeballs
15187,680,1.0,286106,Squatted Eyeballs,Eyeballs
15188,36977,107.0,6931,Not Squatted Eyeballs,Eyeballs
15189,35191,138.0,11710,Not Squatted Eyeballs,Eyeballs
15190,41897,534.0,9221,Not Squatted Eyeballs,Eyeballs
15191,8014,426.0,29081,Not Squatted Eyeballs,Eyeballs
15192,45773,4.0,10109,Squatted Eyeballs,Eyeballs
15193,58495,37.0,12077,Squatted Eyeballs,Eyeballs
15194,263763,77.0,6615,Not Squatted Eyeballs,Eyeballs
15195,58966,20.0,17346,Squatted Eyeballs,Eyeballs
15196,36884,1974.0,166063,Not Squatted Eyeballs,Eyeballs
15197,11796,1206.0,334324,Not Squatted Eyeballs,Eyeballs
15198,15108,3.0,252238,Squatted Eyeballs,Eyeballs
15199,9762,716.0,9918,Not Squatted Eyeballs,Eyeballs
15200,15659,1.0,318206,Squatted Eyeballs,Eyeballs
15201,35986,417.0,39624,Not Squatted Eyeballs,Eyeballs
15202,37623,158.0,8947,Not Squatted Eyeballs,Eyeballs
15203,28725,151.0,42280,Not Squatted Eyeballs,Eyeballs
15204,27887,1.0,44651,Squatted Eyeballs,Eyeballs
15205,141461,1.0,6849,Squatted Eyeballs,Eyeballs
15206,133652,1.0,8858,Squatted Eyeballs,Eyeballs
15207,57378,139.0,13285,Not Squatted Eyeballs,Eyeballs
15208,10219,1.0,89430,Squatted Eyeballs,Eyeballs
15209,55832,440.0,19435,Not Squatted Eyeballs,Eyeballs
15210,131627,1067.0,19197,Not Squatted Eyeballs,Eyeballs
15211,28158,948.0,5995,Not Squatted Eyeballs,Eyeballs
15212,43561,2.0,154783,Squatted Eyeballs,Eyeballs
15213,265691,75.0,75986,Not Squatted Eyeballs,Eyeballs
15214,133647,38.0,22189,Squatted Eyeballs,Eyeballs
15215,53066,1.0,17046,Squatted Eyeballs,Eyeballs
15216,2018,451.0,55069,Not Squatted Eyeballs,Eyeballs
15217,136284,185.0,59199,Not Squatted Eyeballs,Eyeballs
15218,32277,1.0,87465,Squatted Eyeballs,Eyeballs
15219,21413,1638.0,72751,Not Squatted Eyeballs,Eyeballs
15220,28652,532.0,7843,Not Squatted Eyeballs,Eyeballs
15221,8251,92.0,42123,Not Squatted Eyeballs,Eyeballs
15222,262807,965.0,16007,Not Squatted Eyeballs,Eyeballs
15223,31143,65.0,11158,Not Squatted Eyeballs,Eyeballs
15224,4662,742.0,7561,Not Squatted Eyeballs,Eyeballs
15225,52866,567.0,11474,Not Squatted Eyeballs,Eyeballs
15226,31126,2.0,19021,Squatted Eyeballs,Eyeballs
15227,17841,1.0,16649,Squatted Eyeballs,Eyeballs
15228,395965,555.0,245745,Not Squatted Eyeballs,Eyeballs
15229,49628,1.0,8807,Squatted Eyeballs,Eyeballs
15230,17961,328.0,25041,Not Squatted Eyeballs,Eyeballs
15231,262907,801.0,10574,Not Squatted Eyeballs,Eyeballs
15232,4657,7.0,665693,Squatted Eyeballs,Eyeballs
15233,49223,233.0,9604,Not Squatted Eyeballs,Eyeballs
15234,28287,709.0,5281,Not Squatted Eyeballs,Eyeballs
15235,13272,984.0,98086,Not Squatted Eyeballs,Eyeballs
15236,34087,459.0,444073,Not Squatted Eyeballs,Eyeballs
15237,263405,644.0,9592,Not Squatted Eyeballs,Eyeballs
15238,9374,533.0,8888,Not Squatted Eyeballs,Eyeballs
15239,135697,173.0,18422,Not Squatted Eyeballs,Eyeballs
15240,39280,270.0,9472,Not Squatted Eyeballs,Eyeballs
15241,31012,3094.0,72323,Not Squatted Eyeballs,Eyeballs
15242,6300,2.0,306401,Squatted Eyeballs,Eyeballs
15243,7794,579.0,100139,Not Squatted Eyeballs,Eyeballs
15244,18049,874.0,6376,Not Squatted Eyeballs,Eyeballs
15245,37187,173.0,9870,Not Squatted Eyeballs,Eyeballs
15246,28260,1.0,7846,Squatted Eyeballs,Eyeballs
15247,134732,96.0,11912,Squatted Eyeballs,Eyeballs
15248,45595,1.0,22937,Squatted Eyeballs,Eyeballs
15249,52783,742.0,8011,Not Squatted Eyeballs,Eyeballs
15250,31514,277.0,22941,Not Squatted Eyeballs,Eyeballs
15251,38553,1.0,10626,Squatted Eyeballs,Eyeballs
15252,262785,712.0,8582,Not Squatted Eyeballs,Eyeballs
15253,37575,32.0,5637,Not Squatted Eyeballs,Eyeballs
15254,201411,2334.0,6873,Not Squatted Eyeballs,Eyeballs
15255,132686,102.0,15946,Not Squatted Eyeballs,Eyeballs
15256,269853,72.0,6436,Not Squatted Eyeballs,Eyeballs
15257,41661,71.0,9939,Not Squatted Eyeballs,Eyeballs
15258,47232,97.0,25158,Not Squatted Eyeballs,Eyeballs
15259,53508,1.0,92752,Squatted Eyeballs,Eyeballs
15260,203953,2038.0,576460,Not Squatted Eyeballs,Eyeballs
15261,57370,570.0,102462,Not Squatted Eyeballs,Eyeballs
15262,41998,2087.0,87189,Not Squatted Eyeballs,Eyeballs
15263,138245,87.0,10897,Squatted Eyeballs,Eyeballs
15264,48146,1.0,16119,Squatted Eyeballs,Eyeballs
15265,135582,55.0,17396,Not Squatted Eyeballs,Eyeballs
15266,47626,23.0,5214,Not Squatted Eyeballs,Eyeballs
15267,8437,4.0,169180,Squatted Eyeballs,Eyeballs
15268,35311,235.0,16731,Not Squatted Eyeballs,Eyeballs
15269,25490,103.0,17578,Not Squatted Eyeballs,Eyeballs
15270,44252,1.0,6720,Squatted Eyeballs,Eyeballs
15271,199284,1439.0,30983,Not Squatted Eyeballs,Eyeballs
15272,327750,1.0,19796,Squatted Eyeballs,Eyeballs
15273,34187,98.0,5145,Not Squatted Eyeballs,Eyeballs
15274,56209,341.0,5065,Not Squatted Eyeballs,Eyeballs
15275,264228,312.0,20931,Not Squatted Eyeballs,Eyeballs
15276,24651,605.0,42794,Not Squatted Eyeballs,Eyeballs
15277,61568,200.0,10383,Not Squatted Eyeballs,Eyeballs
15278,19711,379.0,39867,Not Squatted Eyeballs,Eyeballs
15279,20960,131.0,29784,Not Squatted Eyeballs,Eyeballs
15280,23563,942.0,12529,Not Squatted Eyeballs,Eyeballs
15281,17534,835.0,7515,Not Squatted Eyeballs,Eyeballs
15282,57128,12.0,8034,Not Squatted Eyeballs,Eyeballs
15283,28544,282.0,6034,Not Squatted Eyeballs,Eyeballs
15284,23673,9.0,53773,Squatted Eyeballs,Eyeballs
15285,17849,861.0,8573,Not Squatted Eyeballs,Eyeballs
15286,8580,44.0,12489,Not Squatted Eyeballs,Eyeballs
15287,8334,1.0,41804,Squatted Eyeballs,Eyeballs
15288,58224,515.0,90744,Squatted Eyeballs,Eyeballs
15289,262234,8.0,12281,Squatted Eyeballs,Eyeballs
15290,18260,653.0,6277,Not Squatted Eyeballs,Eyeballs
15291,37110,166.0,11240,Not Squatted Eyeballs,Eyeballs
15292,12737,30.0,13282,Not Squatted Eyeballs,Eyeballs
15293,136336,2.0,31933,Squatted Eyeballs,Eyeballs
15294,56120,405.0,5093,Not Squatted Eyeballs,Eyeballs
15295,8257,249.0,17534,Not Squatted Eyeballs,Eyeballs
15296,7482,2.0,9988,Squatted Eyeballs,Eyeballs
15297,35104,3.0,204147,Squatted Eyeballs,Eyeballs
15298,41046,60.0,15802,Not Squatted Eyeballs,Eyeballs
15299,34456,148.0,14941,Not Squatted Eyeballs,Eyeballs
15300,29492,252.0,294148,Not Squatted Eyeballs,Eyeballs
15301,8661,292.0,8233,Not Squatted Eyeballs,Eyeballs
15302,52075,422.0,100104,Not Squatted Eyeballs,Eyeballs
15303,262272,776.0,5532,Not Squatted Eyeballs,Eyeballs
15304,10838,4.0,142835,Squatted Eyeballs,Eyeballs
15305,133007,1.0,32378,Squatted Eyeballs,Eyeballs
15306,23473,1157.0,111327,Not Squatted Eyeballs,Eyeballs
15307,31246,253.0,48343,Not Squatted Eyeballs,Eyeballs
