,AS,# of source IP,# of Traceroutes,Type,Feature
338,23674,8.0,132881,Squatted lenPref,lenPref
339,32787,1.0,140720,Squatted lenPref,lenPref
340,719,7.0,2823764,Squatted lenPref,lenPref
341,376,330.0,333543,Not Squatted lenPref,lenPref
342,7046,3.0,830417,Squatted lenPref,lenPref
343,3758,13.0,2072295,Squatted lenPref,lenPref
344,31549,8345.0,32350,Not Squatted lenPref,lenPref
345,38370,2.0,10783,Squatted lenPref,lenPref
346,4809,39.0,2262884,Squatted lenPref,lenPref
347,1680,10.0,1984228,Squatted lenPref,lenPref
348,136958,10.0,22016,Not Squatted lenPref,lenPref
349,4515,30.0,1464443,Squatted lenPref,lenPref
350,56048,75.0,630836,Squatted lenPref,lenPref
351,36692,21.0,2237133,Squatted lenPref,lenPref
352,11139,523.0,30043,Not Squatted lenPref,lenPref
353,45916,255.0,182687,Squatted lenPref,lenPref
354,5769,8.0,5186650,Squatted lenPref,lenPref
355,22724,6.0,179079,Squatted lenPref,lenPref
356,131293,1.0,71789,Squatted lenPref,lenPref
357,10029,6.0,158798,Squatted lenPref,lenPref
358,20978,2.0,37005,Squatted lenPref,lenPref
359,4058,6.0,607224,Squatted lenPref,lenPref
360,7725,31.0,143682,Not Squatted lenPref,lenPref
361,680,1.0,286106,Squatted lenPref,lenPref
362,36947,6750.0,183448,Not Squatted lenPref,lenPref
363,24757,3.0,190138,Squatted lenPref,lenPref
364,22368,1373.0,14582,Not Squatted lenPref,lenPref
365,29580,1591.0,152460,Not Squatted lenPref,lenPref
366,22284,12.0,413485,Squatted lenPref,lenPref
367,11272,4.0,411197,Squatted lenPref,lenPref
368,7296,1.0,13468,Squatted lenPref,lenPref
369,31126,2.0,19021,Squatted lenPref,lenPref
370,29256,1.0,40604,Squatted lenPref,lenPref
371,6407,1.0,186889,Squatted lenPref,lenPref
372,38019,11.0,69988,Squatted lenPref,lenPref
373,9341,59.0,138927,Squatted lenPref,lenPref
374,14813,1.0,125875,Squatted lenPref,lenPref
375,204170,1.0,59765,Squatted lenPref,lenPref
376,37693,2470.0,85642,Not Squatted lenPref,lenPref
377,2856,34.0,19689954,Squatted lenPref,lenPref
378,2914,6.0,302359,Squatted lenPref,lenPref
379,9908,2663.0,113359,Not Squatted lenPref,lenPref
380,4775,19.0,701464,Squatted lenPref,lenPref
381,14265,2.0,1441553,Squatted lenPref,lenPref
382,5713,6.0,569370,Squatted lenPref,lenPref
383,7896,316.0,6876,Not Squatted lenPref,lenPref
384,2665,1.0,808996,Squatted lenPref,lenPref
