#Field:count	sourceIPCount	endUserASN
2573	57	41268
14508	1	41492
527	3	41540
181	35	41620
1905	14	41723
586	29	41738
3	1	41743
6126	69	41754
3	1	41774
724	7	41794
3461	2	41834
740	3	41970
277	2	42120
2453	12	42148
507	10	42183
322	8	42238
3998	2	42321
2133	17	42546
36	1	42577
3652	26	42638
60	1	42679
5421	49	42683
15	1	42733
15937	44	42876
804	1	42887
14284	46	42908
79687	1370	42925
724	1	42944
552	9	42998
156	6	43047
2008	13	43073
759	25	43258
7451	2	43300
210	1	43472
184	1	43501
3	1	43580
6284	48	43599
293	1	43628
4837	15	43633
7638	6	43716
1330	1	43828
6166	116	43848
1947	25	43936
17929	145	43957
56	2	43962
124	2	43970
6004	256	43989
97	1	43991
18	1	44119
596	40	44160
90	3	44174
2481	5	44175
126	1	44236
5	1	44260
101	8	44318
197	5	44493
79	1	44537
181	6	44624
457	5	44628
1826	5	44640
2508	46	44668
260	1	44699
243	3	44718
13416	16	44764
372	1	44839
3	1	45002
1161	5	45013
1560	1	45016
7054	26	45061
17959	7	45079
56	31	45113
243	3	45172
24655	16	45187
6202	6	45212
45245	2	45218
3	1	45470
27	1	45495
55	1	45572
7	3	45634
80498	368	45671
42	1	45767
4	1	45888
10541	50	45891
3	1	45912
445	17	45935
1	1	45963
15	6	45984
6	1	46000
718	23	46019
213	21	46058
4	1	46110
2	2	46156
972	12	46215
299	1	46249
17230	74	46303
1585	1	46352
2901	1	46462
12	1	46511
15924	21	46780
17001	98	46792
2947	1	46810
2340954	1308	46887
83	4	46897
7939	47	46905
137	4	47090
5000	9	47134
17	1	47266
1	1	47345
1047	29	47359
1508	48	47438
60	6	47453
35	2	47454
1008	2	47469
2584	8	47478
1117	152	47507
9	1	47517
510705	54428	47524
2170	12	47527
593	1	47615
243	3	47618
27	2	47628
69	2	47638
582	1	47647
4151	1	47770
62	1	47789
7835	8	47833
251	2	47845
100422	1	48038
34	1	48097
12	1	48115
811	1	48153
163	3	48298
4	1	48351
6153	49	48475
8	1	48496
7176	866	48544
122	1	48572
912	1	48613
1605	4	48790
2476	1	48865
21	2	48932
944	164	48944
4033	6	49014
38815	1	49043
4261	56	49048
948	2	49318
903	15	49325
9	1	49330
176	14	49571
18	1	49575
2357	4	49576
157	1	49599
820	36	49629
85	4	49669
3761	4	49769
135	5	49773
1	1	49879
111	2	49915
38	1	50037
24	2	50128
432	8	50130
9387	2	50249
706	6	50301
213	2	50359
549	1	50432
18	1	50666
1725	1	50695
27	1	50696
3364	12	50705
77660	3396	50710
19411	29	50767
2	1	50866
487	5	50901
102	1	50975
1897	149	51052
104	1	51086
69	1	51181
6	1	51285
1067	4	51313
34	1	51326
1101	101	51336
201	5	51566
74	2	51644
35	1	51795
47	3	51859
221	7	51874
1459	1	51958
887	9	51968
86	3	51979
4544	41	52102
1994	7	52163
1680	3	52175
7774	10	52226
3	2	52270
10	2	52368
882	62	52371
197	35	52388
1052	90	52409
422	97	52431
3942	86	52527
65	17	52543
755	91	52565
1838	38	52578
189	35	52635
119	16	52665
241	3	52684
135	60	52714
1	1	52808
376	55	52851
791	158	52956
400	49	52963
79	2	52969
475	9	53049
2489	106	53073
1831	86	53094
371	49	53095
177	18	53115
330	34	53127
1451	134	53217
5909	381	53240
1566	19	53266
30759	246	53271
298	1	53327
534	1	53430
17393	4	53434
7515	5	53562
33294	4	53602
105	1	53816
14071	2	53893
876	2	53948
