Equinix Palo Alto	198.32.177.0/24
Equinix Paris	195.42.144.0/23
Equinix Perth	101.97.43.0/24
Equinix Rio de Janeiro	142.215.8.0/22
Equinix San Jose	206.223.116.0/23
Equinix São Paulo	198.32.122.0/24
Equinix São Paulo	64.191.232.0/22
Equinix Seattle	198.32.133.0/24
Equinix Seattle	198.32.134.0/24
Equinix Seoul	103.140.210.0/24
Equinix Singapore	27.111.228.0/22
Equinix Stockholm	185.1.107.0/24
Equinix Sydney	45.127.172.0/22
Equinix Tokyo	203.190.230.0/24
Equinix Tokyo	203.190.230.0/25
Equinix Toronto	198.32.181.0/24
Equinix Vienna (VA)	198.32.190.0/24
Equinix Vienna (VA)	198.32.191.0/24
Equinix Vienna (VA)	198.32.192.0/24
Equinix Warsaw	195.182.218.0/23
Equinix Zurich	194.42.48.0/24
ESPANIX Madrid Lower LAN	193.149.1.0/24
ESPANIX Madrid Upper LAN	185.79.175.0/24
EUNIC-IX	193.34.203.0/24
Eurasia Peering IX	185.232.60.0/23
EuroGIX	185.1.14.0/24
EVIX	206.81.104.0/24
Extreme IX Chennai	45.120.251.0/24
Extreme IX Delhi	45.120.248.0/24
Extreme IX Hyderabad	103.77.110.0/24
Extreme IX Kolkata	45.120.249.0/24
Extreme IX Mumbai	103.77.108.0/23
Extreme-IX Mumbai	103.77.108.0/24
ExWest	195.60.82.64/26
FCIX	206.80.238.0/24
FD-IX - Iowa	149.112.6.0/24
FD-IX (Texas-IX)	149.112.7.0/24
FEZIX	154.70.201.0/24
FICIX 1 (Espoo)	193.110.226.0/24
FICIX 2 (Helsinki)	193.110.224.0/24
FICIX 3 (Oulu)	193.110.225.0/24
Fiji-IXP	103.147.194.0/23
FIXO	91.198.176.0/24
FL-IX	206.41.108.0/24
France-IX	37.49.236.0/23
France-IX Marseille	37.49.232.0/24
France-IX Paris	37.49.236.0/22
FR-IX	91.216.67.0/24
FSIX	185.1.174.0/24
FURB IX	200.135.14.128/26
FVG-IX	82.193.63.0/24
GABIX	196.223.39.0/24
Gavlix	185.1.79.0/24
GCIIX	206.123.30.0/24
GE-CIX	80.94.94.0/23
GetaFIX	103.104.19.0/24
GigaNET Kharkov	185.1.84.0/24
GigaNET Kiev	185.1.62.0/23
GigaNET Moscow	185.1.85.0/24
GigaNET Odessa	194.107.117.0/24
GigaNET Warsaw	185.1.111.0/24
GigaPIX - LAN 1	193.136.250.0/24
GigaPIX - LAN2	193.136.251.0/26
GigaPIX - Oporto	193.136.251.96/27
Gig IX Ashburn	206.83.8.192/27
GIX	45.114.20.0/22
GIXA	196.201.2.0/24
GIX Gdansk	188.116.45.0/24
GIX Gothenburg	194.165.32.0/24
Global-IX	109.239.136.0/23
Global Peer Exchange	64.4.197.0/24
GN-IX	193.111.172.0/24
GOREX	192.35.145.0/24
GPIEX	142.202.116.0/22
GPIEX	23.156.192.0/24
GraX	193.105.214.0/24
GrenoblIX	77.95.68.0/24
GREX	206.126.244.0/24
GREX	206.126.244.0/26
GR-IX::Athens	176.126.38.0/25
GR-IX::Thessaloniki	185.1.123.0/24
Grunix	185.1.190.0/24
Grunix	5.22.252.192/27
GTIIX	206.123.0.0/24
GTIX	168.234.77.0/24
GTIX	168.234.79.0/24
GTIX	45.68.5.0/24
GU-IX	202.128.12.0/26
Guyanix	194.57.235.0/24
HamroIX-Amsterdam	104.167.214.128/28
HamroIX-Rome	104.167.214.144/28
Harare IX	196.60.44.0/24
HFXIX	206.130.15.0/24
HIX	205.166.205.0/24
HIX Haiti	200.0.18.0/24
HIX-NZ	218.100.56.0/24
HKIX	123.255.88.0/21
HKIX	202.40.160.0/23
Hopus	37.77.32.0/20
HOUIX	206.83.136.0/24
Houston-IX	206.71.138.0/24
HPT1-IX	69.88.2.0/24
HPT1-IX	69.88.9.0/24
HTN-IX	218.100.71.0/24
IAIX	210.184.127.0/24
ICX Delhi	103.162.76.0/24
IF-IX	185.1.96.0/24
IIX	192.114.62.0/24
IIX-Bali	218.100.33.0/24
IIX Israel	192.114.62.0/23
IIX-Jabar	218.100.31.0/24
IIX-Jakarta	103.28.74.0/23
IIX-Jakarta	218.100.4.0/24
IIX-Jateng	103.249.64.0/24
IIX-Jogja	218.100.30.0/24
IIX-Lampung	103.110.223.0/24
IIX Riau	103.54.2.0/23
IIX-Surabaya	103.19.76.0/24
IIX-Surabaya	218.100.32.0/24
inet2	85.112.122.0/23
INEX Cork	185.1.69.0/24
INEX LAN1	185.6.36.0/23
INEX LAN2	194.88.240.0/25
InteRED Panama	179.0.200.0/24
InteRED Panama	179.0.201.0/24
InterLAN	86.104.125.0/24
IPv4 Multicast	80.81.200.0/24
ISTIX	185.1.202.0/24
ITI-IX	92.119.248.0/22
IX Australia (Adelaide SA)	218.100.54.0/25
IX Australia (Brisbane QLD)	218.100.76.0/24
IX Australia (Canberra ACT)	218.100.54.128/25
IX Australia (Melbourne VIC)	218.100.78.0/24
IX Australia (Perth WA)	198.32.212.0/24
IX Australia (Sydney NSW)	218.100.52.0/23
IXBradford	185.1.168.0/24
IX.br Fortaleza	200.219.146.0/24
IX.br Porto Alegre	200.219.143.0/24
IX.br (PTT.br) Aracaju	200.219.130.0/24
IX.br (PTT.br) Belém	187.16.195.0/24
IX.br (PTT.br) Belo Horizonte	200.219.139.0/24
IX.br (PTT.br) Brasília	200.192.110.0/24
IX.br (PTT.br) Campina Grande	200.192.109.0/24
IX.br (PTT.br) Campinas	200.192.108.0/24
IX.br (PTT.br) Campo Grande	45.227.2.0/24
IX.br (PTT.br) Cascavel	45.227.3.0/24
IX.br (PTT.br) Caxias do Sul	187.16.197.0/24
IX.br (PTT.br) Cuiabá	187.16.203.0/24
IX.br (PTT.br) Curitiba	200.219.140.0/24
IX.br (PTT.br) Florianópolis	200.219.141.0/24
IX.br (PTT.br) Fortaleza	45.184.144.0/22
IX.br (PTT.br) Foz do Iguaçu	187.16.204.0/24
IX.br (PTT.br) Goiânia	200.192.111.0/24
IX.br (PTT.br) João Pessoa	187.16.193.0/24
IX.br (PTT.br) Lajeado	187.16.202.0/24
IX.br (PTT.br) Londrina	200.219.144.0/24
