4b42 Internet Exchange Point	185.1.125.0/24
Equinix São Paulo	198.32.122.0/24
Equinix São Paulo	64.191.232.0/22
Equinix Seattle	198.32.133.0/24
Equinix Seattle	198.32.134.0/24
Equinix Seoul	103.140.210.0/24
Equinix Singapore	27.111.228.0/22
Equinix Stockholm	185.1.107.0/24
Equinix Sydney	45.127.172.0/22
Equinix Tokyo	203.190.230.0/24
Equinix Tokyo	203.190.230.0/25
Equinix Toronto	198.32.181.0/24
Equinix Vienna (VA)	198.32.190.0/24
Equinix Vienna (VA)	198.32.191.0/24
Equinix Vienna (VA)	198.32.192.0/24
Equinix Warsaw (PLIX)	195.182.218.0/23
Equinix Zurich	194.42.48.0/25
ESPANIX Madrid Lower LAN	193.149.1.0/24
ESPANIX Madrid Upper LAN	185.79.175.0/24
EUNIC-IX	193.34.203.0/24
Eurasia Peering IX	185.232.60.0/23
EuroGIX	185.1.14.0/24
EVIX	206.81.104.0/24
Extreme IX Chennai	45.120.251.0/24
Extreme IX Delhi	45.120.248.0/24
Extreme IX Hyderabad	103.77.110.0/24
Extreme IX Kolkata	45.120.249.0/24
Extreme IX Mumbai	103.77.108.0/24
ExWest	195.60.82.64/26
FCIX	206.80.238.0/24
FICIX 1 (Espoo)	193.110.226.0/24
FICIX 2 (Helsinki)	193.110.224.0/24
FICIX 3 (Oulu)	193.110.225.0/24
FIXO	91.198.176.0/24
FL-IX	206.41.108.0/24
France-IX	37.49.236.0/23
France-IX Marseille	37.49.232.0/24
France-IX Paris	37.49.236.0/22
FR-IX	91.216.67.0/24
FURB IX	200.135.14.128/26
FVG-IX	82.193.63.0/24
GABIX	196.223.39.0/24
Gavlix	185.1.79.0/24
GCIIX	206.123.30.0/24
GE-CIX	80.94.94.0/23
GetaFIX	103.104.19.0/24
GigaNET	185.1.111.0/24
GigaNET	185.1.62.0/23
GigaNET	185.1.84.0/24
GigaNET	185.1.85.0/24
GigaNET	194.107.117.0/24
GigaPIX	193.136.250.0/24
GigaPIX	193.136.251.0/26
GigaPIX Oporto	193.136.251.96/27
GIX	45.114.20.0/22
GIXA	196.201.2.0/24
GIX Gdansk	188.116.45.0/24
GIX Gothenburg	194.165.32.0/24
Global-IX	109.239.136.0/23
GN-IX	193.111.172.0/24
GOREX	192.35.145.0/24
GPIEX	23.156.192.0/24
GraX	193.105.214.0/24
GrenoblIX	77.95.68.0/24
GREX	206.126.244.0/24
GR-IX::Athens	176.126.38.0/25
GR-IX::Thessaloniki	185.1.123.0/24
GTIIX	206.123.0.0/24
GU-IX	202.128.12.0/26
Guyanix	194.57.235.0/24
Harare IX	196.60.44.0/24
HFXIX	206.130.15.0/24
HIX	205.166.205.0/24
HIX Haiti	200.0.18.0/24
HIX-NZ	218.100.56.0/24
HKIX	123.255.88.0/21
HKIX	202.40.160.0/23
Hopus	37.77.32.0/20
Houston-IX	206.71.138.0/24
HTN-IX	218.100.71.0/24
IAIX	210.184.127.0/24
IF-IX	185.1.96.0/24
IIFON IX Kolkata	103.74.224.0/24
IIX-Bali	218.100.33.0/24
IIX Israel	192.114.62.0/24
IIX-Jakarta	103.28.74.0/23
IIX-Jakarta	218.100.4.0/24
IIX-RI	103.54.2.0/23
IIX-Surabaya	218.100.32.0/24
inet2	85.112.122.0/23
INEX Cork	185.1.69.0/24
INEX LAN1	185.6.36.0/23
INEX LAN2	194.88.240.0/25
InterLAN	86.104.125.0/24
IPv4 Multicast	80.81.200.0/24
